x,y,dist,orient,direct,SrcNum,DetNum,OptGrp
-148.492424049175,63.6396103067893,20,vert,diagonal,S01,D01,none
-148.492424049175,49.4974746830583,44.7213595499958,vert,diagonal,S01,D02,none
-148.492424049175,35.3553390593274,72.1110255092798,vert,diagonal,S01,D03,none
-134.350288425444,63.6396103067893,44.7213595499958,hori,diagonal,S01,D04,none
-134.350288425444,49.4974746830583,60,vert,diagonal,S01,D05,none
-134.350288425444,35.3553390593274,82.4621125123532,vert,diagonal,S01,D06,none
-120.208152801713,63.6396103067893,72.1110255092798,hori,diagonal,S01,D07,none
-120.208152801713,49.4974746830583,82.4621125123532,hori,diagonal,S01,D08,none
-120.208152801713,35.3553390593274,100,vert,diagonal,S01,D09,none
-106.066017177982,63.6396103067893,100,hori,diagonal,S01,D10,none
-106.066017177982,49.4974746830583,107.70329614269,hori,diagonal,S01,D11,none
-106.066017177982,35.3553390593274,121.655250605964,hori,diagonal,S01,D12,none
-106.066017177982,21.2132034355964,140,vert,diagonal,S01,D13,none
-91.9238815542512,49.4974746830583,134.164078649987,hori,diagonal,S01,D14,none
-91.9238815542512,35.3553390593274,145.60219778561,hori,diagonal,S01,D15,none
-91.9238815542512,21.2132034355964,161.245154965971,hori,diagonal,S01,D16,none
-77.7817459305202,49.4974746830583,161.245154965971,hori,diagonal,S01,D17,none
-77.7817459305202,35.3553390593274,170.880074906351,hori,diagonal,S01,D18,none
-77.7817459305202,21.2132034355964,184.390889145858,hori,diagonal,S01,D19,none
-63.6396103067893,49.4974746830583,188.679622641132,hori,diagonal,S01,D20,none
-63.6396103067893,35.3553390593274,196.977156035922,hori,diagonal,S01,D21,none
-63.6396103067893,21.2132034355964,208.806130178211,hori,diagonal,S01,D22,none
-49.4974746830583,63.6396103067893,212.602916254693,hori,diagonal,S01,D23,none
-49.4974746830583,49.4974746830583,216.333076527839,hori,diagonal,S01,D24,none
-49.4974746830583,35.3553390593274,223.606797749979,hori,diagonal,S01,D25,none
-35.3553390593274,63.6396103067893,240.831891575846,hori,diagonal,S01,D26,none
-35.3553390593274,49.4974746830583,244.131112314674,hori,diagonal,S01,D27,none
-35.3553390593274,35.3553390593274,250.599281722833,hori,diagonal,S01,D28,none
-148.492424049175,49.4974746830583,20,vert,antidiag,S02,D01,none
-148.492424049175,35.3553390593274,20,vert,diagonal,S02,D02,none
-148.492424049175,21.2132034355964,44.7213595499958,vert,diagonal,S02,D03,none
-134.350288425444,49.4974746830583,44.7213595499958,hori,antidiag,S02,D04,none
