x,y,dist,x_real,y_real,z_real,dist_real,orient,direct,SrcNum,DetNum
-80.000,-12.500,25.000,-70.590,14.595,49.013,27.147,vert,straight,S01,D05
-70.000,-12.500,32.016,-72.880,5.904,49.078,35.213,vert,diagonal,S02,D05
-60.000,-12.500,47.170,-74.505,-9.459,49.109,59.087,hori,diagonal,S03,D05
-50.000,0.000,60.000,-67.880,-19.401,61.634,70.326,hori,straight,S05,D05
-50.000,-25.000,78.102,-73.293,-20.681,35.429,90.433,hori,diagonal,S04,D05
-30.000,0.000,100.000,3.934,-19.090,61.641,152.566,hori,straight,S07,D05
-30.000,-25.000,111.803,9.265,-20.636,35.429,171.204,hori,diagonal,S06,D05
-20.000,-12.500,122.577,10.472,-9.270,49.095,158.804,hori,diagonal,S08,D05
-10.000,-12.500,142.215,8.788,6.035,49.073,148.753,hori,diagonal,S09,D05
0.000,-12.500,161.941,6.499,14.727,49.016,143.042,hori,diagonal,S10,D05
-80.000,-37.500,25.000,-78.793,15.835,23.584,27.713,vert,straight,S01,D01
-70.000,-12.500,32.016,-75.212,1.274,49.574,35.259,vert,antidiag,S01,D06
-70.000,-37.500,32.016,-81.415,3.500,23.584,34.969,vert,diagonal,S01,D02
-60.000,-12.500,47.170,-76.742,-7.574,49.779,49.378,hori,antidiag,S01,D07
-60.000,-37.500,47.170,-82.934,-8.566,23.584,53.345,hori,diagonal,S01,D03
-50.000,-25.000,60.000,-79.439,-19.242,37.289,65.939,hori,straight,S01,D04
-30.000,-25.000,100.000,2.323,-19.059,37.292,171.880,hori,straight,S01,D08
-20.000,-12.500,122.577,-0.409,-7.463,49.722,161.152,hori,antidiag,S01,D12
-20.000,-37.500,122.577,5.745,-8.231,23.584,173.606,hori,diagonal,S01,D09
-10.000,-12.500,142.215,-1.991,1.377,49.575,154.316,hori,antidiag,S01,D13
-10.000,-37.500,142.215,4.240,3.505,23.584,166.273,hori,diagonal,S01,D10
0.000,-12.500,161.941,-6.626,14.744,49.017,143.042,hori,antidiag,S01,D14
0.000,-37.500,161.941,1.544,16.108,23.584,159.791,hori,diagonal,S01,D11
-70.000,-37.500,32.016,-81.082,7.144,23.649,34.932,vert,antidiag,S02,D01
-60.000,-37.500,47.170,-82.708,-8.219,23.679,59.360,hori,antidiag,S03,D01
-50.000,-25.000,78.102,-76.082,-18.161,36.205,89.775,hori,antidiag,S05,D01
-50.000,-50.000,60.000,-81.495,-19.441,10.000,74.956,hori,straight,S04,D01
-30.000,-25.000,111.803,-4.269,-17.850,36.212,176.355,hori,antidiag,S07,D01
-30.000,-50.000,100.000,1.063,-19.396,10.000,179.355,hori,straight,S06,D01
-20.000,-37.500,122.577,2.270,-8.030,23.666,175.563,hori,antidiag,S08,D01
-10.000,-37.500,142.215,0.586,7.275,23.644,165.724,hori,antidiag,S09,D01
0.000,-37.500,161.941,-1.704,15.967,23.587,159.844,hori,antidiag,S10,D01
-60.000,-12.500,25.000,-77.501,-7.418,49.639,27.111,vert,straight,S02,D06
-50.000,-12.500,32.016,-79.127,-22.780,49.670,35.902,vert,diagonal,S03,D06
-40.000,0.000,40.000,-72.501,-32.722,62.195,43.274,hori,straight,S05,D06
-40.000,-25.000,64.031,-77.914,-34.002,35.990,69.901,vert,diagonal,S04,D06
-20.000,0.000,80.000,-0.688,-32.411,62.202,151.300,hori,straight,S07,D06
-20.000,-25.000,94.340,4.643,-33.957,35.990,170.517,hori,diagonal,S06,D06
-10.000,-12.500,103.078,5.850,-22.592,49.656,161.797,hori,diagonal,S08,D06
0.000,-12.500,122.577,4.167,-7.286,49.634,157.022,hori,diagonal,S09,D06
10.000,-12.500,142.215,1.877,1.406,49.577,154.375,hori,diagonal,S10,D06
-60.000,-37.500,25.000,-83.704,-5.192,23.649,27.736,vert,straight,S02,D02
-50.000,-12.500,32.016,-79.032,-16.265,49.843,35.871,vert,antidiag,S02,D07
-50.000,-37.500,32.016,-85.223,-17.257,23.649,39.056,vert,diagonal,S02,D03
-40.000,-25.000,40.000,-81.729,-27.933,37.354,48.397,hori,straight,S02,D04
-20.000,-25.000,80.000,0.033,-27.751,37.357,170.432,hori,straight,S02,D08
-10.000,-12.500,103.078,-2.698,-16.155,49.786,161.939,hori,antidiag,S02,D12
-10.000,-37.500,103.078,3.455,-16.922,23.649,174.545,hori,diagonal,S02,D09
0.000,-12.500,122.577,-4.280,-7.314,49.640,157.014,hori,antidiag,S02,D13
0.000,-37.500,122.577,1.950,-5.187,23.649,169.594,hori,diagonal,S02,D10
10.000,-12.500,142.215,-8.915,6.052,49.081,148.815,hori,antidiag,S02,D14
10.000,-37.500,142.215,-0.746,7.416,23.649,165.758,hori,diagonal,S02,D11
-50.000,-37.500,32.016,-85.330,-20.554,23.679,39.019,vert,antidiag,S03,D02
-40.000,-25.000,64.031,-78.705,-30.497,36.205,72.223,vert,antidiag,S05,D02
-40.000,-50.000,40.000,-84.118,-31.776,10.000,50.352,hori,straight,S04,D02
-20.000,-25.000,94.340,-6.891,-30.185,36.212,172.612,hori,antidiag,S07,D02
-20.000,-50.000,80.000,-1.560,-31.731,10.000,175.560,hori,straight,S06,D02
-10.000,-37.500,103.078,-0.353,-20.366,23.666,174.993,hori,antidiag,S08,D02
0.000,-37.500,122.577,-2.036,-5.060,23.644,169.528,hori,antidiag,S09,D02
10.000,-37.500,142.215,-4.326,3.631,23.587,166.238,hori,antidiag,S10,D02
-40.000,-12.500,25.000,-80.657,-31.628,49.874,27.080,vert,straight,S03,D07
-30.000,0.000,20.000,-74.032,-41.570,62.399,25.961,hori,straight,S05,D07
-30.000,-25.000,53.852,-79.445,-42.850,36.195,59.778,vert,diagonal,S04,D07
-10.000,0.000,60.000,-2.218,-41.258,62.406,150.314,hori,straight,S07,D07
-10.000,-25.000,78.102,3.113,-42.804,36.195,169.639,hori,diagonal,S06,D07
0.000,-12.500,83.815,4.320,-31.439,49.860,163.330,hori,diagonal,S08,D07
10.000,-12.500,103.078,2.636,-16.133,49.838,161.917,hori,diagonal,S09,D07
20.000,-12.500,122.577,0.347,-7.442,49.782,161.183,hori,diagonal,S10,D07
-40.000,-37.500,25.000,-86.849,-32.619,23.679,27.857,vert,straight,S03,D03
-30.000,-25.000,20.000,-83.354,-43.296,37.384,17.969,hori,straight,S03,D04
