x,y,dist,x_real,y_real,z_real,dist_real,orient,direct,SrcNum,DetNum,OptGrp
-90.000,63.000,18.000,NaN,NaN,NaN,NaN,vert,straight,S03,D01,head_L
-90.000,45.000,54.000,NaN,NaN,NaN,NaN,vert,straight,S08,D01,head_L
-81.000,72.000,18.000,NaN,NaN,NaN,NaN,hori,straight,S01,D01,head_L
-81.000,54.000,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S06,D01,head_L
-81.000,36.000,74.216,NaN,NaN,NaN,NaN,vert,diagonal,S11,D01,head_L
-72.000,63.000,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S04,D01,head_L
-72.000,45.000,64.900,NaN,NaN,NaN,NaN,vert,diagonal,S09,D01,head_L
-63.000,72.000,54.000,NaN,NaN,NaN,NaN,hori,straight,S02,D01,head_L
-63.000,54.000,64.900,NaN,NaN,NaN,NaN,hori,diagonal,S07,D01,head_L
-63.000,36.000,90.000,NaN,NaN,NaN,NaN,vert,diagonal,S12,D01,head_L
-54.000,63.000,74.216,NaN,NaN,NaN,NaN,hori,diagonal,S05,D01,head_L
-54.000,45.000,90.000,NaN,NaN,NaN,NaN,hori,diagonal,S10,D01,head_L
-90.000,45.000,18.000,NaN,NaN,NaN,NaN,vert,straight,S03,D06,head_L
-90.000,27.000,54.000,NaN,NaN,NaN,NaN,vert,straight,S03,D11,head_L
-81.000,54.000,18.000,NaN,NaN,NaN,NaN,hori,straight,S03,D04,head_L
-81.000,36.000,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S03,D09,head_L
-72.000,63.000,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S03,D02,head_L
-72.000,45.000,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S03,D07,head_L
-72.000,27.000,64.900,NaN,NaN,NaN,NaN,vert,diagonal,S03,D12,head_L
-63.000,54.000,54.000,NaN,NaN,NaN,NaN,hori,straight,S03,D05,head_L
-63.000,36.000,64.900,NaN,NaN,NaN,NaN,hori,diagonal,S03,D10,head_L
-54.000,63.000,74.216,NaN,NaN,NaN,NaN,hori,antidiag,S03,D03,head_L
-54.000,45.000,74.216,NaN,NaN,NaN,NaN,hori,diagonal,S03,D08,head_L
-54.000,27.000,90.000,NaN,NaN,NaN,NaN,hori,diagonal,S03,D13,head_L
-90.000,27.000,18.000,NaN,NaN,NaN,NaN,vert,straight,S08,D06,head_L
-81.000,54.000,40.249,NaN,NaN,NaN,NaN,vert,antidiag,S01,D06,head_L
-81.000,36.000,18.000,NaN,NaN,NaN,NaN,hori,straight,S06,D06,head_L
-81.000,18.000,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S11,D06,head_L
-72.000,45.000,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S04,D06,head_L
-72.000,27.000,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S09,D06,head_L
-63.000,54.000,64.900,NaN,NaN,NaN,NaN,hori,antidiag,S02,D06,head_L
-63.000,36.000,54.000,NaN,NaN,NaN,NaN,hori,straight,S07,D06,head_L
-63.000,18.000,64.900,NaN,NaN,NaN,NaN,hori,diagonal,S12,D06,head_L
-54.000,45.000,74.216,NaN,NaN,NaN,NaN,hori,antidiag,S05,D06,head_L
-54.000,27.000,74.216,NaN,NaN,NaN,NaN,hori,diagonal,S10,D06,head_L
-90.000,9.000,18.000,NaN,NaN,NaN,NaN,vert,straight,S08,D11,head_L
-81.000,36.000,40.249,NaN,NaN,NaN,NaN,vert,antidiag,S08,D04,head_L
-81.000,18.000,18.000,NaN,NaN,NaN,NaN,hori,straight,S08,D09,head_L
-72.000,45.000,64.900,NaN,NaN,NaN,NaN,vert,antidiag,S08,D02,head_L
-72.000,27.000,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S08,D07,head_L
-72.000,9.000,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S08,D12,head_L
