x,y,dist,orient,direct,SrcNum,DetNum
-27.000,-4.500,18.000,vert,straight,S03,D01
-27.000,-13.500,36.000,vert,straight,S05,D01
-27.000,-40.500,90.000,vert,straight,S11,D01
-18.000,-4.500,25.456,vert,diagonal,S04,D01
-18.000,-13.500,40.249,vert,diagonal,S06,D01
-18.000,-40.500,91.782,vert,diagonal,S12,D01
-9.000,4.500,36.000,hori,straight,S01,D01
-9.000,-22.500,64.900,hori,diagonal,S07,D01
-9.000,-31.500,80.498,hori,diagonal,S09,D01
0.000,4.500,54.000,hori,straight,S02,D01
0.000,-22.500,76.368,hori,diagonal,S08,D01
0.000,-31.500,90.000,hori,diagonal,S10,D01
-27.000,-31.500,36.000,vert,straight,S03,D07
-27.000,-40.500,54.000,vert,straight,S03,D09
-18.000,-4.500,25.456,vert,antidiag,S03,D02
-18.000,-31.500,40.249,vert,diagonal,S03,D08
-18.000,-40.500,56.921,vert,diagonal,S03,D10
-9.000,-13.500,36.000,hori,straight,S03,D03
-9.000,-22.500,40.249,hori,diagonal,S03,D05
-9.000,-49.500,80.498,hori,diagonal,S03,D11
0.000,-13.500,54.000,hori,straight,S03,D04
0.000,-22.500,56.921,hori,diagonal,S03,D06
0.000,-49.500,90.000,hori,diagonal,S03,D12
-27.000,-40.500,18.000,vert,straight,S05,D07
-27.000,-49.500,36.000,vert,straight,S05,D09
-18.000,-13.500,40.249,vert,antidiag,S05,D02
-18.000,-40.500,25.456,vert,diagonal,S05,D08
-18.000,-49.500,40.249,vert,diagonal,S05,D10
-9.000,-22.500,40.249,hori,antidiag,S05,D03
-9.000,-31.500,36.000,hori,straight,S05,D05
-9.000,-58.500,64.900,hori,diagonal,S05,D11
0.000,-22.500,56.921,hori,antidiag,S05,D04
0.000,-31.500,54.000,hori,straight,S05,D06
0.000,-58.500,76.368,hori,diagonal,S05,D12
-27.000,-67.500,36.000,vert,straight,S11,D07
-18.000,-31.500,40.249,vert,antidiag,S04,D07
-18.000,-40.500,25.456,vert,antidiag,S06,D07
-18.000,-67.500,40.249,vert,diagonal,S12,D07
-9.000,-22.500,64.900,hori,antidiag,S01,D07
-9.000,-49.500,36.000,hori,straight,S07,D07
-9.000,-58.500,40.249,hori,diagonal,S09,D07
0.000,-22.500,76.368,hori,antidiag,S02,D07
0.000,-49.500,54.000,hori,straight,S08,D07
0.000,-58.500,56.921,hori,diagonal,S10,D07
-27.000,-76.500,18.000,vert,straight,S11,D09
-18.000,-40.500,56.921,vert,antidiag,S04,D09
-18.000,-49.500,40.249,vert,antidiag,S06,D09
-18.000,-76.500,25.456,vert,diagonal,S12,D09
-9.000,-31.500,80.498,hori,antidiag,S01,D09
-9.000,-58.500,40.249,hori,antidiag,S07,D09
-9.000,-67.500,36.000,hori,straight,S09,D09
0.000,-31.500,90.000,hori,antidiag,S02,D09
0.000,-58.500,56.921,hori,antidiag,S08,D09
0.000,-67.500,54.000,hori,straight,S10,D09
-18.000,-40.500,91.782,vert,antidiag,S11,D02
-18.000,-67.500,40.249,vert,antidiag,S11,D08
-18.000,-76.500,25.456,vert,antidiag,S11,D10
-9.000,-49.500,80.498,hori,antidiag,S11,D03
-9.000,-58.500,64.900,hori,antidiag,S11,D05
-9.000,-85.500,36.000,hori,straight,S11,D11
0.000,-49.500,90.000,hori,antidiag,S11,D04
0.000,-58.500,76.368,hori,antidiag,S11,D06
0.000,-85.500,54.000,hori,straight,S11,D12
-9.000,-4.500,18.000,vert,straight,S04,D02
-9.000,-13.500,36.000,vert,straight,S06,D02
-9.000,-40.500,90.000,vert,straight,S12,D02
0.000,4.500,18.000,hori,straight,S01,D02
0.000,-22.500,56.921,hori,diagonal,S07,D02
0.000,-31.500,74.216,hori,diagonal,S09,D02
9.000,4.500,36.000,hori,straight,S02,D02
9.000,-22.500,64.900,hori,diagonal,S08,D02
9.000,-31.500,80.498,hori,diagonal,S10,D02
-9.000,-31.500,36.000,vert,straight,S04,D08
-9.000,-40.500,54.000,vert,straight,S04,D10
0.000,-13.500,18.000,hori,straight,S04,D03
0.000,-22.500,25.456,hori,diagonal,S04,D05
0.000,-49.500,74.216,hori,diagonal,S04,D11
9.000,-13.500,36.000,hori,straight,S04,D04
9.000,-22.500,40.249,hori,diagonal,S04,D06
9.000,-49.500,80.498,hori,diagonal,S04,D12
-9.000,-40.500,18.000,vert,straight,S06,D08
-9.000,-49.500,36.000,vert,straight,S06,D10
0.000,-22.500,25.456,hori,antidiag,S06,D03
0.000,-31.500,18.000,hori,straight,S06,D05
0.000,-58.500,56.921,hori,diagonal,S06,D11
9.000,-22.500,40.249,hori,antidiag,S06,D04
9.000,-31.500,36.000,hori,straight,S06,D06
9.000,-58.500,64.900,hori,diagonal,S06,D12
