x,y,dist,orient,direct,SrcNum,DetNum
-31.820,-6.364,18.000,vert,antidiag,S03,D01
-31.820,-19.092,18.000,vert,diagonal,S03,D04
-31.820,-31.820,40.249,vert,diagonal,S03,D07
-31.820,-44.548,64.900,vert,diagonal,S03,D10
-31.820,-57.276,90.000,vert,diagonal,S03,D13
-19.092,-6.364,40.249,hori,antidiag,S03,D02
-19.092,-19.092,40.249,hori,diagonal,S03,D05
-19.092,-31.820,54.000,vert,diagonal,S03,D08
-19.092,-44.548,74.216,vert,diagonal,S03,D11
-6.364,-6.364,64.900,hori,antidiag,S03,D03
-6.364,-19.092,64.900,hori,diagonal,S03,D06
-6.364,-31.820,74.216,hori,diagonal,S03,D09
-6.364,-44.548,90.000,vert,diagonal,S03,D12
-6.364,-57.276,109.490,vert,diagonal,S03,D14
-31.820,-19.092,40.249,vert,antidiag,S07,D01
-31.820,-31.820,18.000,vert,antidiag,S07,D04
-31.820,-44.548,18.000,vert,diagonal,S07,D07
-31.820,-57.276,40.249,vert,diagonal,S07,D10
-31.820,-70.004,64.900,vert,diagonal,S07,D13
-19.092,-19.092,54.000,vert,antidiag,S07,D02
-19.092,-31.820,40.249,hori,antidiag,S07,D05
-19.092,-44.548,40.249,hori,diagonal,S07,D08
-19.092,-57.276,54.000,vert,diagonal,S07,D11
-6.364,-19.092,74.216,hori,antidiag,S07,D03
-6.364,-31.820,64.900,hori,antidiag,S07,D06
-6.364,-44.548,64.900,hori,diagonal,S07,D09
-6.364,-57.276,74.216,hori,diagonal,S07,D12
-6.364,-70.004,90.000,vert,diagonal,S07,D14
-31.820,-31.820,64.900,vert,antidiag,S11,D01
-31.820,-44.548,40.249,vert,antidiag,S11,D04
-31.820,-57.276,18.000,vert,antidiag,S11,D07
-31.820,-70.004,18.000,vert,diagonal,S11,D10
-31.820,-82.731,40.249,vert,diagonal,S11,D13
-19.092,-31.820,74.216,vert,antidiag,S11,D02
-19.092,-44.548,54.000,vert,antidiag,S11,D05
-19.092,-57.276,40.249,hori,antidiag,S11,D08
-19.092,-70.004,40.249,hori,diagonal,S11,D11
-6.364,-31.820,90.000,vert,antidiag,S11,D03
-6.364,-44.548,74.216,hori,antidiag,S11,D06
-6.364,-57.276,64.900,hori,antidiag,S11,D09
-6.364,-70.004,64.900,hori,diagonal,S11,D12
-6.364,-82.731,74.216,hori,diagonal,S11,D14
-19.092,6.364,18.000,vert,antidiag,S01,D01
-19.092,-6.364,18.000,vert,diagonal,S04,D01
-19.092,-19.092,40.249,vert,diagonal,S08,D01
-19.092,-31.820,64.900,vert,diagonal,S12,D01
-19.092,-44.548,90.000,vert,diagonal,S15,D01
-6.364,6.364,40.249,hori,antidiag,S02,D01
-6.364,-6.364,40.249,hori,diagonal,S05,D01
-6.364,-19.092,54.000,vert,diagonal,S09,D01
-6.364,-31.820,74.216,vert,diagonal,S13,D01
-6.364,-44.548,96.933,vert,diagonal,S16,D01
6.364,-6.364,64.900,hori,diagonal,S06,D01
6.364,-19.092,74.216,hori,diagonal,S10,D01
6.364,-31.820,90.000,vert,diagonal,S14,D01
-19.092,-6.364,40.249,vert,antidiag,S01,D04
