x,y,dist,x_real,y_real,z_real,dist_real,orient,direct,SrcNum,DetNum,OptGrp
-31.82,-19.092,18,NaN,NaN,NaN,NaN,vert,antidiag,S02,D02,head
-31.82,-31.82,18,NaN,NaN,NaN,NaN,vert,diagonal,S02,D04,head
-31.82,-44.548,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S02,D06,head
-31.82,-57.276,64.9,NaN,NaN,NaN,NaN,vert,diagonal,S02,D07,head
-31.82,-70.004,90,NaN,NaN,NaN,NaN,vert,diagonal,S02,D08,head
-19.092,-6.364,54,NaN,NaN,NaN,NaN,hori,antidiag,S02,D01,head
-19.092,-19.092,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S02,D03,head
-19.092,-31.82,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S02,D05,head
-19.092,-44.548,54,NaN,NaN,NaN,NaN,hori,diagonal,S02,D11,head
-19.092,-57.276,74.216,NaN,NaN,NaN,NaN,vert,diagonal,S02,D13,head
-19.092,-70.004,96.933,NaN,NaN,NaN,NaN,vert,diagonal,S02,D15,head
-6.364,-19.092,64.9,NaN,NaN,NaN,NaN,hori,antidiag,S02,D09,head
-6.364,-31.82,64.9,NaN,NaN,NaN,NaN,hori,diagonal,S02,D10,head
-6.364,-44.548,74.216,NaN,NaN,NaN,NaN,hori,diagonal,S02,D12,head
-6.364,-57.276,90,NaN,NaN,NaN,NaN,hori,diagonal,S02,D14,head
-6.364,-70.004,109.49,NaN,NaN,NaN,NaN,vert,diagonal,S02,D16,head
-31.82,-31.82,40.249,NaN,NaN,NaN,NaN,vert,antidiag,S04,D02,head
-31.82,-44.548,18,NaN,NaN,NaN,NaN,vert,antidiag,S04,D04,head
-31.82,-57.276,18,NaN,NaN,NaN,NaN,vert,diagonal,S04,D06,head
-31.82,-70.004,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S04,D07,head
-31.82,-82.731,64.9,NaN,NaN,NaN,NaN,vert,diagonal,S04,D08,head
-19.092,-19.092,74.216,NaN,NaN,NaN,NaN,vert,antidiag,S04,D01,head
-19.092,-31.82,54,NaN,NaN,NaN,NaN,hori,antidiag,S04,D03,head
-19.092,-44.548,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S04,D05,head
-19.092,-57.276,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S04,D11,head
-19.092,-70.004,54,NaN,NaN,NaN,NaN,hori,diagonal,S04,D13,head
-19.092,-82.731,74.216,NaN,NaN,NaN,NaN,vert,diagonal,S04,D15,head
-6.364,-31.82,74.216,NaN,NaN,NaN,NaN,hori,antidiag,S04,D09,head
-6.364,-44.548,64.9,NaN,NaN,NaN,NaN,hori,antidiag,S04,D10,head
-6.364,-57.276,64.9,NaN,NaN,NaN,NaN,hori,diagonal,S04,D12,head
-6.364,-70.004,74.216,NaN,NaN,NaN,NaN,hori,diagonal,S04,D14,head
-6.364,-82.731,90,NaN,NaN,NaN,NaN,hori,diagonal,S04,D16,head
-31.82,-44.548,64.9,NaN,NaN,NaN,NaN,vert,antidiag,S06,D02,head
-31.82,-57.276,40.249,NaN,NaN,NaN,NaN,vert,antidiag,S06,D04,head
-31.82,-70.004,18,NaN,NaN,NaN,NaN,vert,antidiag,S06,D06,head
-31.82,-82.731,18,NaN,NaN,NaN,NaN,vert,diagonal,S06,D07,head
-31.82,-95.459,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S06,D08,head
-19.092,-31.82,96.933,NaN,NaN,NaN,NaN,vert,antidiag,S06,D01,head
-19.092,-44.548,74.216,NaN,NaN,NaN,NaN,vert,antidiag,S06,D03,head
-19.092,-57.276,54,NaN,NaN,NaN,NaN,hori,antidiag,S06,D05,head
-19.092,-70.004,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S06,D11,head
-19.092,-82.731,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S06,D13,head
-19.092,-95.459,54,NaN,NaN,NaN,NaN,hori,diagonal,S06,D15,head
-6.364,-44.548,90,NaN,NaN,NaN,NaN,hori,antidiag,S06,D09,head
-6.364,-57.276,74.216,NaN,NaN,NaN,NaN,hori,antidiag,S06,D10,head
-6.364,-70.004,64.9,NaN,NaN,NaN,NaN,hori,antidiag,S06,D12,head
-6.364,-82.731,64.9,NaN,NaN,NaN,NaN,hori,diagonal,S06,D14,head
-6.364,-95.459,74.216,NaN,NaN,NaN,NaN,hori,diagonal,S06,D16,head
-19.092,-6.364,18,NaN,NaN,NaN,NaN,hori,antidiag,S01,D02,head
-19.092,-19.092,18,NaN,NaN,NaN,NaN,hori,diagonal,S03,D02,head
-19.092,-31.82,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S05,D02,head
-19.092,-44.548,64.9,NaN,NaN,NaN,NaN,vert,diagonal,S07,D02,head
-19.092,-57.276,90,NaN,NaN,NaN,NaN,vert,diagonal,S08,D02,head
-6.364,-6.364,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S09,D02,head
-6.364,-19.092,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S10,D02,head
-6.364,-31.82,54,NaN,NaN,NaN,NaN,hori,diagonal,S12,D02,head
-6.364,-44.548,74.216,NaN,NaN,NaN,NaN,vert,diagonal,S14,D02,head
-6.364,-57.276,96.933,NaN,NaN,NaN,NaN,vert,diagonal,S16,D02,head
6.364,-19.092,64.9,NaN,NaN,NaN,NaN,hori,diagonal,S11,D02,head
6.364,-31.82,74.216,NaN,NaN,NaN,NaN,hori,diagonal,S13,D02,head
6.364,-44.548,90,NaN,NaN,NaN,NaN,hori,diagonal,S15,D02,head
-19.092,-19.092,40.249,NaN,NaN,NaN,NaN,vert,antidiag,S01,D04,head
-19.092,-31.82,18,NaN,NaN,NaN,NaN,hori,antidiag,S03,D04,head
-19.092,-44.548,18,NaN,NaN,NaN,NaN,hori,diagonal,S05,D04,head
-19.092,-57.276,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S07,D04,head
-19.092,-70.004,64.9,NaN,NaN,NaN,NaN,vert,diagonal,S08,D04,head
-6.364,-19.092,54,NaN,NaN,NaN,NaN,hori,antidiag,S09,D04,head
-6.364,-31.82,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S10,D04,head
-6.364,-44.548,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S12,D04,head
-6.364,-57.276,54,NaN,NaN,NaN,NaN,hori,diagonal,S14,D04,head
-6.364,-70.004,74.216,NaN,NaN,NaN,NaN,vert,diagonal,S16,D04,head
6.364,-31.82,64.9,NaN,NaN,NaN,NaN,hori,antidiag,S11,D04,head
6.364,-44.548,64.9,NaN,NaN,NaN,NaN,hori,diagonal,S13,D04,head
6.364,-57.276,74.216,NaN,NaN,NaN,NaN,hori,diagonal,S15,D04,head
-19.092,-31.82,64.9,NaN,NaN,NaN,NaN,vert,antidiag,S01,D06,head
-19.092,-44.548,40.249,NaN,NaN,NaN,NaN,vert,antidiag,S03,D06,head
-19.092,-57.276,18,NaN,NaN,NaN,NaN,hori,antidiag,S05,D06,head
-19.092,-70.004,18,NaN,NaN,NaN,NaN,hori,diagonal,S07,D06,head
-19.092,-82.731,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S08,D06,head
-6.364,-31.82,74.216,NaN,NaN,NaN,NaN,vert,antidiag,S09,D06,head
-6.364,-44.548,54,NaN,NaN,NaN,NaN,hori,antidiag,S10,D06,head
-6.364,-57.276,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S12,D06,head
-6.364,-70.004,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S14,D06,head
-6.364,-82.731,54,NaN,NaN,NaN,NaN,hori,diagonal,S16,D06,head
6.364,-44.548,74.216,NaN,NaN,NaN,NaN,hori,antidiag,S11,D06,head
6.364,-57.276,64.9,NaN,NaN,NaN,NaN,hori,antidiag,S13,D06,head
6.364,-70.004,64.9,NaN,NaN,NaN,NaN,hori,diagonal,S15,D06,head
-19.092,-44.548,90,NaN,NaN,NaN,NaN,vert,antidiag,S01,D07,head
-19.092,-57.276,64.9,NaN,NaN,NaN,NaN,vert,antidiag,S03,D07,head
-19.092,-70.004,40.249,NaN,NaN,NaN,NaN,vert,antidiag,S05,D07,head
-19.092,-82.731,18,NaN,NaN,NaN,NaN,hori,antidiag,S07,D07,head
-19.092,-95.459,18,NaN,NaN,NaN,NaN,hori,diagonal,S08,D07,head
-6.364,-44.548,96.933,NaN,NaN,NaN,NaN,vert,antidiag,S09,D07,head
-6.364,-57.276,74.216,NaN,NaN,NaN,NaN,vert,antidiag,S10,D07,head
-6.364,-70.004,54,NaN,NaN,NaN,NaN,hori,antidiag,S12,D07,head
-6.364,-82.731,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S14,D07,head
-6.364,-95.459,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S16,D07,head
6.364,-57.276,90,NaN,NaN,NaN,NaN,hori,antidiag,S11,D07,head
6.364,-70.004,74.216,NaN,NaN,NaN,NaN,hori,antidiag,S13,D07,head
6.364,-82.731,64.9,NaN,NaN,NaN,NaN,hori,antidiag,S15,D07,head
-19.092,-57.276,115.256,NaN,NaN,NaN,NaN,vert,antidiag,S01,D08,head
-19.092,-70.004,90,NaN,NaN,NaN,NaN,vert,antidiag,S03,D08,head
-19.092,-82.731,64.9,NaN,NaN,NaN,NaN,vert,antidiag,S05,D08,head
-19.092,-95.459,40.249,NaN,NaN,NaN,NaN,vert,antidiag,S07,D08,head
-19.092,-108.187,18,NaN,NaN,NaN,NaN,hori,antidiag,S08,D08,head
-6.364,-57.276,120.748,NaN,NaN,NaN,NaN,vert,antidiag,S09,D08,head
-6.364,-70.004,96.933,NaN,NaN,NaN,NaN,vert,antidiag,S10,D08,head
-6.364,-82.731,74.216,NaN,NaN,NaN,NaN,vert,antidiag,S12,D08,head
-6.364,-95.459,54,NaN,NaN,NaN,NaN,hori,antidiag,S14,D08,head
-6.364,-108.187,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S16,D08,head
6.364,-70.004,109.49,NaN,NaN,NaN,NaN,vert,antidiag,S11,D08,head
6.364,-82.731,90,NaN,NaN,NaN,NaN,hori,antidiag,S13,D08,head
6.364,-95.459,74.216,NaN,NaN,NaN,NaN,hori,antidiag,S15,D08,head
-6.364,6.364,18,NaN,NaN,NaN,NaN,vert,antidiag,S01,D01,head
-6.364,-6.364,18,NaN,NaN,NaN,NaN,vert,diagonal,S01,D03,head
-6.364,-19.092,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S01,D05,head
-6.364,-31.82,64.9,NaN,NaN,NaN,NaN,vert,diagonal,S01,D11,head
-6.364,-44.548,90,NaN,NaN,NaN,NaN,vert,diagonal,S01,D13,head
-6.364,-57.276,115.256,NaN,NaN,NaN,NaN,vert,diagonal,S01,D15,head
6.364,-6.364,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S01,D09,head
6.364,-19.092,54,NaN,NaN,NaN,NaN,hori,diagonal,S01,D10,head
6.364,-31.82,74.216,NaN,NaN,NaN,NaN,vert,diagonal,S01,D12,head
6.364,-44.548,96.933,NaN,NaN,NaN,NaN,vert,diagonal,S01,D14,head
