x,y,dist,x_real,y_real,z_real,dist_real,orient,direct,SrcNum,DetNum
-31.820,-19.092,18.000,NaN,NaN,NaN,NaN,vert,antidiag,S02,D02
-31.820,-31.820,18.000,NaN,NaN,NaN,NaN,vert,diagonal,S02,D04
-31.820,-44.548,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S02,D06
-31.820,-57.276,64.900,NaN,NaN,NaN,NaN,vert,diagonal,S02,D07
-31.820,-70.004,90.000,NaN,NaN,NaN,NaN,vert,diagonal,S02,D08
-19.092,-6.364,54.000,NaN,NaN,NaN,NaN,vert,antidiag,S02,D01
-19.092,-19.092,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S02,D03
-19.092,-31.820,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S02,D05
-19.092,-44.548,54.000,NaN,NaN,NaN,NaN,vert,diagonal,S02,D11
-19.092,-57.276,74.216,NaN,NaN,NaN,NaN,vert,diagonal,S02,D13
-19.092,-70.004,96.933,NaN,NaN,NaN,NaN,vert,diagonal,S02,D15
-6.364,-19.092,64.900,NaN,NaN,NaN,NaN,hori,antidiag,S02,D09
-6.364,-31.820,64.900,NaN,NaN,NaN,NaN,hori,diagonal,S02,D10
-6.364,-44.548,74.216,NaN,NaN,NaN,NaN,hori,diagonal,S02,D12
-6.364,-57.276,90.000,NaN,NaN,NaN,NaN,vert,diagonal,S02,D14
-6.364,-70.004,109.490,NaN,NaN,NaN,NaN,vert,diagonal,S02,D16
-31.820,-31.820,40.249,NaN,NaN,NaN,NaN,vert,antidiag,S04,D02
-31.820,-44.548,18.000,NaN,NaN,NaN,NaN,vert,antidiag,S04,D04
-31.820,-57.276,18.000,NaN,NaN,NaN,NaN,vert,diagonal,S04,D06
-31.820,-70.004,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S04,D07
-31.820,-82.731,64.900,NaN,NaN,NaN,NaN,vert,diagonal,S04,D08
-19.092,-19.092,74.216,NaN,NaN,NaN,NaN,vert,antidiag,S04,D01
-19.092,-31.820,54.000,NaN,NaN,NaN,NaN,vert,antidiag,S04,D03
-19.092,-44.548,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S04,D05
-19.092,-57.276,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S04,D11
-19.092,-70.004,54.000,NaN,NaN,NaN,NaN,vert,diagonal,S04,D13
-19.092,-82.731,74.216,NaN,NaN,NaN,NaN,vert,diagonal,S04,D15
-6.364,-31.820,74.216,NaN,NaN,NaN,NaN,hori,antidiag,S04,D09
-6.364,-44.548,64.900,NaN,NaN,NaN,NaN,hori,antidiag,S04,D10
-6.364,-57.276,64.900,NaN,NaN,NaN,NaN,hori,diagonal,S04,D12
-6.364,-70.004,74.216,NaN,NaN,NaN,NaN,hori,diagonal,S04,D14
-6.364,-82.731,90.000,NaN,NaN,NaN,NaN,vert,diagonal,S04,D16
-31.820,-44.548,64.900,NaN,NaN,NaN,NaN,vert,antidiag,S06,D02
-31.820,-57.276,40.249,NaN,NaN,NaN,NaN,vert,antidiag,S06,D04
-31.820,-70.004,18.000,NaN,NaN,NaN,NaN,vert,antidiag,S06,D06
-31.820,-82.731,18.000,NaN,NaN,NaN,NaN,vert,diagonal,S06,D07
-31.820,-95.459,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S06,D08
-19.092,-31.820,96.933,NaN,NaN,NaN,NaN,vert,antidiag,S06,D01
-19.092,-44.548,74.216,NaN,NaN,NaN,NaN,vert,antidiag,S06,D03
-19.092,-57.276,54.000,NaN,NaN,NaN,NaN,vert,antidiag,S06,D05
-19.092,-70.004,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S06,D11
-19.092,-82.731,40.249,NaN,NaN,NaN,NaN,hori,diagonal,S06,D13
-19.092,-95.459,54.000,NaN,NaN,NaN,NaN,vert,diagonal,S06,D15
-6.364,-44.548,90.000,NaN,NaN,NaN,NaN,vert,antidiag,S06,D09
-6.364,-57.276,74.216,NaN,NaN,NaN,NaN,hori,antidiag,S06,D10
-6.364,-70.004,64.900,NaN,NaN,NaN,NaN,hori,antidiag,S06,D12
-6.364,-82.731,64.900,NaN,NaN,NaN,NaN,hori,diagonal,S06,D14
-6.364,-95.459,74.216,NaN,NaN,NaN,NaN,hori,diagonal,S06,D16
-38.184,-170.735,36.000,NaN,NaN,NaN,NaN,vert,straight,S24,D22
-38.184,-179.735,54.000,NaN,NaN,NaN,NaN,vert,straight,S24,D20
-31.820,-170.735,38.184,NaN,NaN,NaN,NaN,vert,diagonal,S24,D21
-31.820,-179.735,55.480,NaN,NaN,NaN,NaN,vert,diagonal,S24,D19
-25.456,-152.735,25.456,NaN,NaN,NaN,NaN,hori,straight,S24,D24
-25.456,-161.735,31.177,NaN,NaN,NaN,NaN,hori,diagonal,S24,D23
-25.456,-188.735,76.368,NaN,NaN,NaN,NaN,vert,diagonal,S24,D18
-25.456,-197.735,93.531,NaN,NaN,NaN,NaN,vert,diagonal,S24,D17
-38.184,-179.735,18.000,NaN,NaN,NaN,NaN,vert,straight,S22,D22
-38.184,-188.735,36.000,NaN,NaN,NaN,NaN,vert,straight,S22,D20
-31.820,-179.735,22.045,NaN,NaN,NaN,NaN,vert,diagonal,S22,D21
-31.820,-188.735,38.184,NaN,NaN,NaN,NaN,vert,diagonal,S22,D19
-25.456,-161.735,31.177,NaN,NaN,NaN,NaN,hori,antidiag,S22,D24
-25.456,-170.735,25.456,NaN,NaN,NaN,NaN,hori,straight,S22,D23
-25.456,-197.735,59.699,NaN,NaN,NaN,NaN,vert,diagonal,S22,D18
-25.456,-206.735,76.368,NaN,NaN,NaN,NaN,vert,diagonal,S22,D17
-38.184,-206.735,36.000,NaN,NaN,NaN,NaN,vert,straight,S19,D22
-38.184,-215.735,54.000,NaN,NaN,NaN,NaN,vert,straight,S18,D22
-31.820,-170.735,38.184,NaN,NaN,NaN,NaN,vert,antidiag,S23,D22
-31.820,-215.735,55.480,NaN,NaN,NaN,NaN,vert,diagonal,S17,D22
-25.456,-188.735,25.456,NaN,NaN,NaN,NaN,hori,straight,S21,D22
-25.456,-197.735,31.177,NaN,NaN,NaN,NaN,hori,diagonal,S20,D22
-38.184,-215.735,18.000,NaN,NaN,NaN,NaN,vert,straight,S19,D20
-38.184,-224.735,36.000,NaN,NaN,NaN,NaN,vert,straight,S18,D20
-31.820,-179.735,55.480,NaN,NaN,NaN,NaN,vert,antidiag,S23,D20
-31.820,-224.735,38.184,NaN,NaN,NaN,NaN,vert,diagonal,S17,D20
-25.456,-197.735,31.177,NaN,NaN,NaN,NaN,hori,antidiag,S21,D20
-25.456,-206.735,25.456,NaN,NaN,NaN,NaN,hori,straight,S20,D20
-31.820,-206.735,38.184,NaN,NaN,NaN,NaN,vert,antidiag,S19,D21
-31.820,-215.735,22.045,NaN,NaN,NaN,NaN,vert,antidiag,S19,D19
-25.456,-188.735,76.368,NaN,NaN,NaN,NaN,vert,antidiag,S19,D24
-25.456,-197.735,59.699,NaN,NaN,NaN,NaN,vert,antidiag,S19,D23
-25.456,-224.735,25.456,NaN,NaN,NaN,NaN,hori,straight,S19,D18
-25.456,-233.735,31.177,NaN,NaN,NaN,NaN,hori,diagonal,S19,D17
-31.820,-215.735,55.480,NaN,NaN,NaN,NaN,vert,antidiag,S18,D21
-31.820,-224.735,38.184,NaN,NaN,NaN,NaN,vert,antidiag,S18,D19
-25.456,-197.735,93.531,NaN,NaN,NaN,NaN,vert,antidiag,S18,D24
-25.456,-206.735,76.368,NaN,NaN,NaN,NaN,vert,antidiag,S18,D23
-25.456,-233.735,31.177,NaN,NaN,NaN,NaN,hori,antidiag,S18,D18
-25.456,-242.735,25.456,NaN,NaN,NaN,NaN,hori,straight,S18,D17
-19.092,-6.364,18.000,NaN,NaN,NaN,NaN,vert,antidiag,S01,D02
-19.092,-19.092,18.000,NaN,NaN,NaN,NaN,vert,diagonal,S03,D02
-19.092,-31.820,40.249,NaN,NaN,NaN,NaN,vert,diagonal,S05,D02
-19.092,-44.548,64.900,NaN,NaN,NaN,NaN,vert,diagonal,S07,D02
-19.092,-57.276,90.000,NaN,NaN,NaN,NaN,vert,diagonal,S08,D02
-6.364,-6.364,40.249,NaN,NaN,NaN,NaN,hori,antidiag,S09,D02
