x,y,x_real,y_real,z_real,OptNum,OptGrp
-74.184,-197.735,NaN,NaN,NaN,A03,n/a
-56.184,-152.735,NaN,NaN,NaN,S24,neckUS
-56.184,-170.735,NaN,NaN,NaN,S22,neckUS
-56.184,-188.735,NaN,NaN,NaN,D22,neckUS
-56.184,-206.735,NaN,NaN,NaN,D20,neckUS
-56.184,-224.735,NaN,NaN,NaN,S19,neckUS
-56.184,-242.735,NaN,NaN,NaN,S18,neckUS
-38.184,-25.456,NaN,NaN,NaN,S02,head
-38.184,-50.912,NaN,NaN,NaN,S04,head
-38.184,-76.368,NaN,NaN,NaN,S06,head
-38.184,-152.735,NaN,NaN,NaN,S23,neckUS
-38.184,-188.735,NaN,NaN,NaN,D21,neckUS
-38.184,-206.735,NaN,NaN,NaN,D19,neckUS
-38.184,-242.735,NaN,NaN,NaN,S17,neckUS
-25.456,-12.728,NaN,NaN,NaN,D02,head
-25.456,-38.184,NaN,NaN,NaN,D04,head
-25.456,-63.640,NaN,NaN,NaN,D06,head
-25.456,-89.095,NaN,NaN,NaN,D07,head
-25.456,-114.551,NaN,NaN,NaN,D08,head
-20.184,-152.735,NaN,NaN,NaN,D24,neckUS
-20.184,-170.735,NaN,NaN,NaN,D23,neckUS
-20.184,-188.735,NaN,NaN,NaN,S21,neckUS
-20.184,-206.735,NaN,NaN,NaN,S20,neckUS
-20.184,-224.735,NaN,NaN,NaN,D18,neckUS
-20.184,-242.735,NaN,NaN,NaN,D17,neckUS
-12.728,0.000,NaN,NaN,NaN,S01,head
-12.728,-25.456,NaN,NaN,NaN,S03,head
-12.728,-50.912,NaN,NaN,NaN,S05,head
-12.728,-76.368,NaN,NaN,NaN,S07,head
-12.728,-101.823,NaN,NaN,NaN,S08,head
0.000,25.456,NaN,NaN,NaN,A01,n/a
0.000,12.728,NaN,NaN,NaN,D01,head
0.000,-12.728,NaN,NaN,NaN,D03,head
0.000,-38.184,NaN,NaN,NaN,D05,head
0.000,-63.640,NaN,NaN,NaN,D11,head
0.000,-89.095,NaN,NaN,NaN,D13,head
0.000,-114.551,NaN,NaN,NaN,D15,head
0.000,-127.279,NaN,NaN,NaN,A02,n/a
12.728,0.000,NaN,NaN,NaN,S09,head
12.728,-25.456,NaN,NaN,NaN,S10,head
12.728,-50.912,NaN,NaN,NaN,S12,head
12.728,-76.368,NaN,NaN,NaN,S14,head
12.728,-101.823,NaN,NaN,NaN,S16,head
20.184,-152.735,NaN,NaN,NaN,D25,neckHb
20.184,-170.735,NaN,NaN,NaN,D26,neckHb
20.184,-224.735,NaN,NaN,NaN,D27,neckHb
20.184,-242.735,NaN,NaN,NaN,D28,neckHb
25.456,-12.728,NaN,NaN,NaN,D09,head
25.456,-38.184,NaN,NaN,NaN,D10,head
25.456,-63.640,NaN,NaN,NaN,D12,head
25.456,-89.095,NaN,NaN,NaN,D14,head
25.456,-114.551,NaN,NaN,NaN,D16,head
38.184,-25.456,NaN,NaN,NaN,S11,head
38.184,-50.912,NaN,NaN,NaN,S13,head
38.184,-76.368,NaN,NaN,NaN,S15,head
38.184,-152.735,NaN,NaN,NaN,S25,neckHb
38.184,-170.735,NaN,NaN,NaN,S27,neckHb
38.184,-224.735,NaN,NaN,NaN,S29,neckHb
38.184,-242.735,NaN,NaN,NaN,S31,neckHb
56.184,-152.735,NaN,NaN,NaN,S26,neckHb
56.184,-170.735,NaN,NaN,NaN,S28,neckHb
56.184,-224.735,NaN,NaN,NaN,S30,neckHb
56.184,-242.735,NaN,NaN,NaN,S32,neckHb
74.184,-197.735,NaN,NaN,NaN,A04,n/a
-12.728,8.000,NaN,NaN,NaN,D29,head
-38.184,-17.456,NaN,NaN,NaN,D30,head
-12.728,-17.456,NaN,NaN,NaN,D31,head
-38.184,-42.912,NaN,NaN,NaN,D32,head
-12.728,-42.912,NaN,NaN,NaN,D33,head
-38.184,-68.368,NaN,NaN,NaN,D34,head
-12.728,-68.368,NaN,NaN,NaN,D35,head
-12.728,-93.823,NaN,NaN,NaN,D36,head
12.728,8.000,NaN,NaN,NaN,D37,head
12.728,-17.456,NaN,NaN,NaN,D38,head
38.184,-17.456,NaN,NaN,NaN,D39,head
12.728,-42.912,NaN,NaN,NaN,D40,head
38.184,-42.912,NaN,NaN,NaN,D41,head
12.728,-68.368,NaN,NaN,NaN,D42,head
38.184,-68.368,NaN,NaN,NaN,D43,head
12.728,-93.823,NaN,NaN,NaN,D44,head
-38.184,-234.735,NaN,NaN,NaN,D45,neckUS
-56.184,-234.735,NaN,NaN,NaN,D46,neckUS
-56.184,-216.735,NaN,NaN,NaN,D47,neckUS
-20.184,-198.735,NaN,NaN,NaN,D48,neckUS
-20.184,-180.735,NaN,NaN,NaN,D49,neckUS
-56.184,-162.735,NaN,NaN,NaN,D50,neckUS
-38.184,-144.735,NaN,NaN,NaN,D51,neckUS
-56.184,-144.735,NaN,NaN,NaN,D52,neckUS
38.184,-144.735,NaN,NaN,NaN,D53,neckHb
56.184,-144.735,NaN,NaN,NaN,D54,neckHb
38.184,-162.735,NaN,NaN,NaN,D55,neckHb
56.184,-162.735,NaN,NaN,NaN,D56,neckHb
38.184,-216.735,NaN,NaN,NaN,D57,neckHb
56.184,-216.735,NaN,NaN,NaN,D58,neckHb
38.184,-234.735,NaN,NaN,NaN,D59,neckHb
56.184,-234.735,NaN,NaN,NaN,D60,neckHb
