x,y,x_real,y_real,z_real,OptNum,OptGrp
-90.000,72.000,NaN,NaN,NaN,D01,head_L
-90.000,54.000,NaN,NaN,NaN,S03,head_L
-90.000,36.000,NaN,NaN,NaN,D06,head_L
-90.000,18.000,NaN,NaN,NaN,S08,head_L
-90.000,0.000,NaN,NaN,NaN,D11,head_L
-90.000,-63.000,NaN,NaN,NaN,A02,n/a
-72.000,72.000,NaN,NaN,NaN,S01,head_L
-72.000,54.000,NaN,NaN,NaN,D04,head_L
-72.000,36.000,NaN,NaN,NaN,S06,head_L
-72.000,18.000,NaN,NaN,NaN,D09,head_L
-72.000,0.000,NaN,NaN,NaN,S11,head_L
-72.000,-54.000,NaN,NaN,NaN,D14,shoulder_L
-72.000,-72.000,NaN,NaN,NaN,D15,shoulder_L
-54.000,90.000,NaN,NaN,NaN,A01,n/a
-54.000,72.000,NaN,NaN,NaN,D02,head_L
-54.000,54.000,NaN,NaN,NaN,S04,head_L
-54.000,36.000,NaN,NaN,NaN,D07,head_L
-54.000,18.000,NaN,NaN,NaN,S09,head_L
-54.000,0.000,NaN,NaN,NaN,D12,head_L
-54.000,-54.000,NaN,NaN,NaN,S13,shoulder_L
-54.000,-72.000,NaN,NaN,NaN,S14,shoulder_L
-36.000,72.000,NaN,NaN,NaN,S02,head_L
-36.000,54.000,NaN,NaN,NaN,D05,head_L
-36.000,36.000,NaN,NaN,NaN,S07,head_L
-36.000,18.000,NaN,NaN,NaN,D10,head_L
-36.000,0.000,NaN,NaN,NaN,S12,head_L
-36.000,-54.000,NaN,NaN,NaN,S15,shoulder_L
-36.000,-72.000,NaN,NaN,NaN,S16,shoulder_L
-18.000,72.000,NaN,NaN,NaN,D03,head_L
-18.000,54.000,NaN,NaN,NaN,S05,head_L
-18.000,36.000,NaN,NaN,NaN,D08,head_L
-18.000,18.000,NaN,NaN,NaN,S10,head_L
-18.000,0.000,NaN,NaN,NaN,D13,head_L
36.000,72.000,NaN,NaN,NaN,D19,head_R
36.000,54.000,NaN,NaN,NaN,S21,head_R
36.000,36.000,NaN,NaN,NaN,D24,head_R
36.000,18.000,NaN,NaN,NaN,S26,head_R
36.000,0.000,NaN,NaN,NaN,D29,head_R
36.000,-63.000,NaN,NaN,NaN,A04,n/a
54.000,72.000,NaN,NaN,NaN,S18,head_R
54.000,54.000,NaN,NaN,NaN,D21,head_R
54.000,36.000,NaN,NaN,NaN,S23,head_R
54.000,18.000,NaN,NaN,NaN,D26,head_R
54.000,0.000,NaN,NaN,NaN,S28,head_R
54.000,-54.000,NaN,NaN,NaN,D30,shoulder_R
54.000,-72.000,NaN,NaN,NaN,D31,shoulder_R
72.000,90.000,NaN,NaN,NaN,A03,n/a
72.000,72.000,NaN,NaN,NaN,D18,head_R
72.000,54.000,NaN,NaN,NaN,S20,head_R
72.000,36.000,NaN,NaN,NaN,D23,head_R
72.000,18.000,NaN,NaN,NaN,S25,head_R
72.000,0.000,NaN,NaN,NaN,D28,head_R
72.000,-54.000,NaN,NaN,NaN,S29,shoulder_R
72.000,-72.000,NaN,NaN,NaN,S30,shoulder_R
90.000,72.000,NaN,NaN,NaN,S17,head_R
90.000,54.000,NaN,NaN,NaN,D20,head_R
90.000,36.000,NaN,NaN,NaN,S22,head_R
90.000,18.000,NaN,NaN,NaN,D25,head_R
90.000,0.000,NaN,NaN,NaN,S27,head_R
90.000,-54.000,NaN,NaN,NaN,S31,shoulder_R
90.000,-72.000,NaN,NaN,NaN,S32,shoulder_R
108.000,72.000,NaN,NaN,NaN,D17,head_R
108.000,54.000,NaN,NaN,NaN,S19,head_R
108.000,36.000,NaN,NaN,NaN,D22,head_R
108.000,18.000,NaN,NaN,NaN,S24,head_R
108.000,0.000,NaN,NaN,NaN,D27,head_R
-72.000,80.000,NaN,NaN,NaN,D32,head_L
-36.000,80.000,NaN,NaN,NaN,D33,head_L
-90.000,62.000,NaN,NaN,NaN,D34,head_L
-18.000,62.000,NaN,NaN,NaN,D35,head_L
-90.000,26.000,NaN,NaN,NaN,D36,head_L
-18.000,26.000,NaN,NaN,NaN,D37,head_L
-72.000,8.000,NaN,NaN,NaN,D38,head_L
-36.000,8.000,NaN,NaN,NaN,D39,head_L
90.000,80.000,NaN,NaN,NaN,D40,head_R
54.000,80.000,NaN,NaN,NaN,D41,head_R
108.000,62.000,NaN,NaN,NaN,D42,head_R
36.000,62.000,NaN,NaN,NaN,D43,head_R
108.000,26.000,NaN,NaN,NaN,D44,head_R
36.000,26.000,NaN,NaN,NaN,D45,head_R
90.000,8.000,NaN,NaN,NaN,D46,head_R
54.000,8.000,NaN,NaN,NaN,D47,head_R
