x,y,x_real,y_real,z_real,OptNum,OptGrp
-74.184,-197.735,NaN,NaN,NaN,A03,n/a
-56.184,-170.735,NaN,NaN,NaN,D20,neckA
-56.184,-188.735,NaN,NaN,NaN,S20,neckA
-56.184,-206.735,NaN,NaN,NaN,S18,neckA
-56.184,-224.735,NaN,NaN,NaN,D18,neckA
-56.184,-285.735,NaN,NaN,NaN,D26,buttA
-56.184,-303.735,NaN,NaN,NaN,S28,buttA
-56.184,-321.735,NaN,NaN,NaN,S26,buttA
-47.184,-267.735,NaN,NaN,NaN,A04,n/a
-38.184,-25.456,NaN,NaN,NaN,S02,head
-38.184,-50.912,NaN,NaN,NaN,S04,head
-38.184,-76.368,NaN,NaN,NaN,S06,head
-38.184,-170.735,NaN,NaN,NaN,D19,neckA
-38.184,-188.735,NaN,NaN,NaN,S19,neckA
-38.184,-206.735,NaN,NaN,NaN,S17,neckA
-38.184,-224.735,NaN,NaN,NaN,D17,neckA
-38.184,-285.735,NaN,NaN,NaN,D25,buttA
-38.184,-303.735,NaN,NaN,NaN,S27,buttA
-38.184,-321.735,NaN,NaN,NaN,S25,buttA
-25.456,-12.728,NaN,NaN,NaN,D02,head
-25.456,-38.184,NaN,NaN,NaN,D04,head
-25.456,-63.640,NaN,NaN,NaN,D06,head
-25.456,-89.095,NaN,NaN,NaN,D07,head
-25.456,-114.551,NaN,NaN,NaN,D08,head
-12.728,0.000,NaN,NaN,NaN,S01,head
-12.728,-25.456,NaN,NaN,NaN,S03,head
-12.728,-50.912,NaN,NaN,NaN,S05,head
-12.728,-76.368,NaN,NaN,NaN,S07,head
-12.728,-101.823,NaN,NaN,NaN,S08,head
0.000,25.456,NaN,NaN,NaN,A01,n/a
0.000,12.728,NaN,NaN,NaN,D01,head
0.000,-12.728,NaN,NaN,NaN,D03,head
0.000,-38.184,NaN,NaN,NaN,D05,head
0.000,-63.640,NaN,NaN,NaN,D11,head
0.000,-89.095,NaN,NaN,NaN,D13,head
0.000,-114.551,NaN,NaN,NaN,D15,head
0.000,-127.279,NaN,NaN,NaN,A02,n/a
12.728,0.000,NaN,NaN,NaN,S09,head
12.728,-25.456,NaN,NaN,NaN,S10,head
12.728,-50.912,NaN,NaN,NaN,S12,head
12.728,-76.368,NaN,NaN,NaN,S14,head
12.728,-101.823,NaN,NaN,NaN,S16,head
25.456,-12.728,NaN,NaN,NaN,D09,head
25.456,-38.184,NaN,NaN,NaN,D10,head
25.456,-63.640,NaN,NaN,NaN,D12,head
25.456,-89.095,NaN,NaN,NaN,D14,head
25.456,-114.551,NaN,NaN,NaN,D16,head
38.184,-25.456,NaN,NaN,NaN,S11,head
38.184,-50.912,NaN,NaN,NaN,S13,head
38.184,-76.368,NaN,NaN,NaN,S15,head
38.184,-170.735,NaN,NaN,NaN,S24,neckB
38.184,-188.735,NaN,NaN,NaN,D24,neckB
38.184,-206.735,NaN,NaN,NaN,D22,neckB
38.184,-224.735,NaN,NaN,NaN,S22,neckB
38.184,-285.735,NaN,NaN,NaN,D28,buttB
38.184,-303.735,NaN,NaN,NaN,S32,buttB
38.184,-321.735,NaN,NaN,NaN,S30,buttB
56.184,-170.735,NaN,NaN,NaN,S23,neckB
56.184,-188.735,NaN,NaN,NaN,D23,neckB
56.184,-206.735,NaN,NaN,NaN,D21,neckB
56.184,-224.735,NaN,NaN,NaN,S21,neckB
56.184,-285.735,NaN,NaN,NaN,D27,buttB
56.184,-303.735,NaN,NaN,NaN,S31,buttB
56.184,-321.735,NaN,NaN,NaN,S29,buttB
-12.728,8.000,NaN,NaN,NaN,D29,head
-38.184,-17.456,NaN,NaN,NaN,D30,head
-12.728,-17.456,NaN,NaN,NaN,D31,head
-38.184,-42.912,NaN,NaN,NaN,D32,head
-12.728,-42.912,NaN,NaN,NaN,D33,head
-38.184,-68.368,NaN,NaN,NaN,D34,head
-12.728,-68.368,NaN,NaN,NaN,D35,head
-12.728,-93.823,NaN,NaN,NaN,D36,head
12.728,8.000,NaN,NaN,NaN,D37,head
12.728,-17.456,NaN,NaN,NaN,D38,head
38.184,-17.456,NaN,NaN,NaN,D39,head
12.728,-42.912,NaN,NaN,NaN,D40,head
38.184,-42.912,NaN,NaN,NaN,D41,head
12.728,-68.368,NaN,NaN,NaN,D42,head
38.184,-68.368,NaN,NaN,NaN,D43,head
12.728,-93.823,NaN,NaN,NaN,D44,head
