x,y,x_real,y_real,z_real,OptNum,OptGrp
-38.184,-25.456,NaN,NaN,NaN,S02,head
-38.184,-50.912,NaN,NaN,NaN,S04,head
-38.184,-76.368,NaN,NaN,NaN,S06,head
-25.456,-12.728,NaN,NaN,NaN,D02,head
-25.456,-38.184,NaN,NaN,NaN,D04,head
-25.456,-63.64,NaN,NaN,NaN,D06,head
-25.456,-89.095,NaN,NaN,NaN,D07,head
-25.456,-114.551,NaN,NaN,NaN,D08,head
-12.728,0,NaN,NaN,NaN,S01,head
-12.728,-25.456,NaN,NaN,NaN,S03,head
-12.728,-50.912,NaN,NaN,NaN,S05,head
-12.728,-76.368,NaN,NaN,NaN,S07,head
-12.728,-101.823,NaN,NaN,NaN,S08,head
0,12.728,NaN,NaN,NaN,D01,head
0,-12.728,NaN,NaN,NaN,D03,head
0,-38.184,NaN,NaN,NaN,D05,head
0,-63.64,NaN,NaN,NaN,D11,head
0,-89.095,NaN,NaN,NaN,D13,head
0,-114.551,NaN,NaN,NaN,D15,head
12.728,0,NaN,NaN,NaN,S09,head
12.728,-25.456,NaN,NaN,NaN,S10,head
12.728,-50.912,NaN,NaN,NaN,S12,head
12.728,-76.368,NaN,NaN,NaN,S14,head
12.728,-101.823,NaN,NaN,NaN,S16,head
25.456,-12.728,NaN,NaN,NaN,D09,head
25.456,-38.184,NaN,NaN,NaN,D10,head
25.456,-63.64,NaN,NaN,NaN,D12,head
25.456,-89.095,NaN,NaN,NaN,D14,head
25.456,-114.551,NaN,NaN,NaN,D16,head
38.184,-25.456,NaN,NaN,NaN,S11,head
38.184,-50.912,NaN,NaN,NaN,S13,head
38.184,-76.368,NaN,NaN,NaN,S15,head
-12.728,8,NaN,NaN,NaN,D29,head
-38.184,-17.456,NaN,NaN,NaN,D30,head
-12.728,-17.456,NaN,NaN,NaN,D31,head
-38.184,-42.912,NaN,NaN,NaN,D32,head
-12.728,-42.912,NaN,NaN,NaN,D33,head
-38.184,-68.368,NaN,NaN,NaN,D34,head
-12.728,-68.368,NaN,NaN,NaN,D35,head
-12.728,-93.823,NaN,NaN,NaN,D36,head
12.728,8,NaN,NaN,NaN,D37,head
12.728,-17.456,NaN,NaN,NaN,D38,head
38.184,-17.456,NaN,NaN,NaN,D39,head
12.728,-42.912,NaN,NaN,NaN,D40,head
38.184,-42.912,NaN,NaN,NaN,D41,head
12.728,-68.368,NaN,NaN,NaN,D42,head
38.184,-68.368,NaN,NaN,NaN,D43,head
12.728,-93.823,NaN,NaN,NaN,D44,head
